sample_name,library,filename,filename2,library_ID
RIAIL_110,CB-2,RIAIL_110_S487_L006_R1_001.fastq.gz,RIAIL_110_S487_L006_R2_001.fastq.gz,RIAIL_110:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_111,CB-2,RIAIL_111_S488_L006_R1_001.fastq.gz,RIAIL_111_S488_L006_R2_001.fastq.gz,RIAIL_111:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_112,CB-2,RIAIL_112_S489_L006_R1_001.fastq.gz,RIAIL_112_S489_L006_R2_001.fastq.gz,RIAIL_112:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_113,CB-2,RIAIL_113_S490_L006_R1_001.fastq.gz,RIAIL_113_S490_L006_R2_001.fastq.gz,RIAIL_113:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_114,CB-2,RIAIL_114_S491_L006_R1_001.fastq.gz,RIAIL_114_S491_L006_R2_001.fastq.gz,RIAIL_114:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_115,CB-2,RIAIL_115_S492_L006_R1_001.fastq.gz,RIAIL_115_S492_L006_R2_001.fastq.gz,RIAIL_115:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_116,CB-2,RIAIL_116_S493_L006_R1_001.fastq.gz,RIAIL_116_S493_L006_R2_001.fastq.gz,RIAIL_116:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_117,CB-2,RIAIL_117_S494_L006_R1_001.fastq.gz,RIAIL_117_S494_L006_R2_001.fastq.gz,RIAIL_117:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_118,CB-2,RIAIL_118_S495_L006_R1_001.fastq.gz,RIAIL_118_S495_L006_R2_001.fastq.gz,RIAIL_118:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_119,CB-2,RIAIL_119_S496_L006_R1_001.fastq.gz,RIAIL_119_S496_L006_R2_001.fastq.gz,RIAIL_119:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_120,CB-2,RIAIL_120_S497_L006_R1_001.fastq.gz,RIAIL_120_S497_L006_R2_001.fastq.gz,RIAIL_120:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_121,CB-2,RIAIL_121_S498_L006_R1_001.fastq.gz,RIAIL_121_S498_L006_R2_001.fastq.gz,RIAIL_121:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_122,CB-2,RIAIL_122_S499_L006_R1_001.fastq.gz,RIAIL_122_S499_L006_R2_001.fastq.gz,RIAIL_122:CB-2:paired:WGS:IlluminaHiSeq4000
