,mean,CI2.5%,CI97.5%
153,0.0875494164491165,0.0031293077167463684,0.3882699539918139
154,0.1434799412420409,0.0808145313704735,0.4021234000553551
155,-0.06291577556461511,-0.12081598210683116,0.05613175755723925
156,-0.02717678373295678,-0.07546249934451509,0.11089584272574621
157,0.03394463901409816,-0.017177714869076655,0.18356958878621893
158,-0.08372680553071989,-0.1337877456061873,0.08136730768550242
159,0.01518890793894299,-0.03628624446427761,0.18129455140333908
160,-0.16551418659954323,-0.23406928787504583,0.019733931878587685
161,0.12431466294223835,0.07398877676822811,0.3081715625112366
162,0.22168996435437033,0.18631762310377076,0.3852315192522454
163,0.28901017222011693,0.2315355378900559,0.4620356103720651
164,-0.18277903802791168,-0.24784752478557556,-0.016735430624658078
165,0.24414417738306374,0.15804777601862757,0.4666885550067681
166,0.045472122241166,-0.012666633577304368,0.20734161973628293
167,0.09701306628676074,0.051598609998824596,0.25695825065219957
168,-0.0056425871629905595,-0.06156312475466863,0.14121897326765376
169,0.14987570770759226,0.06006249387970015,0.4323685244559687
