block,sort_plate,well,dil_fact,rand_id,line_id,lawn_note,censor,growth type,well_note,time_washed,date_sort,sorter_source_well,L1_VP604,L1_MA,L1_plus_VP604,L1_plus_MA,source_file,,,,
1,2,C02,5,110,,,,normal,,2:00 PM,4-Jul,C2,958,1058,57,6,20170704_Plate4_acquisition_1.processed,,,,
1,2,C03,5,111,,,,normal,,2:00 PM,4-Jul,C3,1680,92,117,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,C04,5,112,,,,normal,,2:00 PM,4-Jul,C4,1474,357,97,3,20170704_Plate4_acquisition_1.processed,,,,
1,2,C05,5,113,,,,normal,,2:00 PM,4-Jul,C5,1255,618,46,3,20170704_Plate4_acquisition_1.processed,,,,
1,2,C06,5,114,,,,normal,,2:00 PM,4-Jul,C6,908,1263,60,36,20170704_Plate4_acquisition_1.processed,,,,
1,2,C07,5,133,,,,normal,,2:00 PM,4-Jul,C7,1912,50,97,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,C08,5,134,,,,normal,,2:00 PM,4-Jul,C8,1375,504,63,10,20170704_Plate4_acquisition_1.processed,,,,
1,2,C09,5,135,,,,normal,,2:00 PM,4-Jul,C9,1072,643,55,13,20170704_Plate4_acquisition_1.processed,,,,
1,2,C10,5,136,,,,normal,,2:00 PM,4-Jul,C10,1412,730,94,5,20170704_Plate4_acquisition_1.processed,,,,
1,2,C11,5,137,,,,normal,,2:00 PM,4-Jul,C11,498,1076,58,52,20170704_Plate4_acquisition_1.processed,,,,
1,2,C12,5,138,,,,normal,,2:00 PM,4-Jul,C12,1059,714,73,3,20170704_Plate4_acquisition_1.processed,,,,
1,2,D01,5,115,,,,normal,,2:00 PM,4-Jul,D1,1281,949,68,6,20170704_Plate4_acquisition_1.processed,,,,
1,2,D02,5,116,,,,normal,,2:00 PM,4-Jul,D2,927,1138,48,15,20170704_Plate4_acquisition_1.processed,,,,
1,2,D03,5,117,,,,normal,,2:00 PM,4-Jul,D3,116,2127,23,74,20170704_Plate4_acquisition_1.processed,,,,
1,2,D04,5,118,,,,normal,,2:00 PM,4-Jul,D4,938,651,47,8,20170704_Plate4_acquisition_1.processed,,,,
1,2,D05,5,119,,,,normal,Fungus,2:00 PM,4-Jul,D5,795,1249,65,22,20170704_Plate4_acquisition_1.processed,,,,
1,2,D06,5,120,,,,normal,,2:00 PM,4-Jul,D6,2292,49,145,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,D07,5,139,,,,normal,,2:00 PM,4-Jul,D7,764,1626,67,46,20170704_Plate4_acquisition_1.processed,,,,
1,2,D08,5,140,,,,normal,,2:00 PM,4-Jul,D8,1395,583,74,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,D09,5,141,,,,normal,,2:00 PM,4-Jul,D9,107,1967,37,70,20170704_Plate4_acquisition_1.processed,,,,
1,2,D10,5,142,,,,normal,,2:00 PM,4-Jul,D10,1482,470,97,5,20170704_Plate4_acquisition_1.processed,,,,
1,2,D11,5,143,,,,normal,,2:00 PM,4-Jul,D11,297,1142,26,66,20170704_Plate4_acquisition_1.processed,,,,
1,2,D12,5,144,,,,normal,,2:00 PM,4-Jul,D12,1068,1241,88,22,20170704_Plate4_acquisition_1.processed,,,,
1,2,E01,5,145,,,,normal,,2:00 PM,4-Jul,E1,1745,144,91,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,E02,5,146,,,,normal,,2:00 PM,4-Jul,E2,924,498,64,17,20170704_Plate4_acquisition_1.processed,,,,
1,2,E03,5,147,,Partial Lawn,,normal,,2:00 PM,4-Jul,E3,1,873,25,80,20170704_Plate4_acquisition_1.processed,,,,
1,2,E04,5,148,,,,normal,,2:00 PM,4-Jul,E4,439,1244,39,26,20170704_Plate4_acquisition_1.processed,,,,
1,2,E05,5,149,,,,normal,,2:00 PM,4-Jul,E5,295,1063,32,32,20170704_Plate4_acquisition_1.processed,,,,
1,2,E06,5,150,,,,normal,,2:00 PM,4-Jul,E6,1567,819,80,2,20170704_Plate4_acquisition_1.processed,,,,
1,2,E07,5,,,,,normal,,2:00 PM,4-Jul,E7,5,0,0,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,E08,5,170,,,,normal,,2:00 PM,4-Jul,E8,638,1301,46,59,20170704_Plate4_acquisition_1.processed,,,,
1,2,E09,5,171,,,,normal,,2:00 PM,4-Jul,E9,912,1717,86,172,20170704_Plate4_acquisition_1.processed,,,,
1,2,E10,5,172,,,,normal,,2:00 PM,4-Jul,E10,1222,652,114,27,20170704_Plate4_acquisition_1.processed,,,,
1,2,E11,5,173,,,,normal,,2:00 PM,4-Jul,E11,824,1570,93,64,20170704_Plate4_acquisition_1.processed,,,,
1,2,E12,5,174,,,,normal,,2:00 PM,4-Jul,E12,1071,824,113,27,20170704_Plate4_acquisition_1.processed,,,,
1,2,F01,5,151,,,,normal,,2:00 PM,4-Jul,F1,1245,519,58,2,20170704_Plate4_acquisition_1.processed,,,,
1,2,F02,5,152,,,,normal,,2:00 PM,4-Jul,F2,680,910,57,40,20170704_Plate4_acquisition_1.processed,,,,
1,2,F03,5,153,,,,normal,,2:00 PM,4-Jul,F3,878,761,55,10,20170704_Plate4_acquisition_1.processed,,,,
1,2,F04,5,154,,Full Lawn,,normal,No Worms,2:00 PM,4-Jul,F4,2,1,0,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,F05,5,155,,,,normal,,2:00 PM,4-Jul,F5,817,1124,48,23,20170704_Plate4_acquisition_1.processed,,,,
1,2,F06,5,156,,,,normal,,2:00 PM,4-Jul,F6,844,1092,70,9,20170704_Plate4_acquisition_1.processed,,,,
1,2,F07,5,175,,,,normal,,2:00 PM,4-Jul,F7,656,815,72,29,20170704_Plate4_acquisition_1.processed,,,,
1,2,F08,5,176,,,,normal,,2:00 PM,4-Jul,F8,1256,692,63,11,20170704_Plate4_acquisition_1.processed,,,,
1,2,F09,5,177,,Partial Lawn,,normal,,2:00 PM,4-Jul,F9,1560,417,284,14,20170704_Plate4_acquisition_1.processed,,,,
1,2,F10,5,178,,Partial Lawn,,normal,,2:00 PM,4-Jul,F10,753,582,180,64,20170704_Plate4_acquisition_1.processed,,,,
1,2,F11,5,179,,Full Lawn,,normal,,2:00 PM,4-Jul,F11,568,58,132,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,F12,5,180,,,,normal,,2:00 PM,4-Jul,F12,665,1236,72,97,20170704_Plate4_acquisition_1.processed,,,,
